the_geom,cartodb_id,the_geom_webmercator,objectid,dc_dist,psa,dispatch_date_time,dispatch_date,dispatch_time,hour,dc_key,location_block,ucr_general,text_general_code,point_x,point_y,lat,lng
0101000020E6100000845B881F6DCA52C026CB62C51DF64340,3306196,0101000020110F0000CE69073AFEEA5FC19C60BDEEF1845241,16328376,3,3,2024-10-21 18:54:00+00,5/8/24,14:39:00,14,2.02E+11,900 BLOCK WINTON ST,2600,All Other Offenses,-75.16291035,39.92278354,39.92278354,-75.16291035
0101000020E6100000952CC47639CE52C0F0C273422A034440,3306197,0101000020110F00005D4D65D871F15FC1EB6EB00D68935241,16328383,5,1,2024-10-21 18:57:00+00,5/17/24,9:15:00,9,2.02E+11,4200 BLOCK MAIN ST,2600,All Other Offenses,-75.22225732,40.02472716,40.02472716,-75.22225732
0101000020E61000001C23FA317DC052C0E787F82483064440,3306198,0101000020110F0000CD40EB1B1DDA5FC1DE3DEB971E975241,16329675,8,1,2024-10-21 18:59:00+00,4/11/24,19:44:00,19,2.02E+11,4400 BLOCK ABERDALE RD,1400,Vandalism/Criminal Mischief,-75.00764131,40.05087721,40.05087721,-75.00764131
0101000020E6100000C7F7A49701C452C08C232070EE024440,3306199,0101000020110F00007A28328616E05FC1588208B525935241,16329685,15,2,2024-10-21 19:00:00+00,5/12/24,22:49:00,22,2.02E+11,6000 BLOCK MONTAGUE ST,800,Other Assaults,-75.06259719,40.02290155,40.02290155,-75.06259719
0101000020E610000081CF0F2384C952C04A253CA1D7FB4340,3306200,0101000020110F000019AAE47972E95FC1C2152DCD498B5241,16330117,9,2,2024-10-21 19:00:00+00,5/16/24,8:10:00,8,2.02E+11,POPLAR ST  & N 7TH ST,1400,Vandalism/Criminal Mischief,-75.14869,39.967518,39.967518,-75.14869
0101000020E6100000A5A31CCC262054C0A8BE77C4B61C4540,3306201,0101000020110F0000B713A153B91761C128DDC685E4D05341,16330123,24,3,2024-10-21 19:01:00+00,5/6/24,12:04:00,12,2.02E+11,I St & E Tioga St,800,Other Assaults,-80.502368,42.22432762,42.22432762,-80.502368
0101000020E610000046C950BAD9C852C051AF4AD8ED014440,3306202,0101000020110F00005F36DF0451E85FC1B6FACC2509925241,16330542,25,1,2024-10-21 19:02:00+00,5/12/24,23:00:00,23,2.02E+11,4100 BLOCK N MARSHALL ST,700,Motor Vehicle Theft,-75.13828905,40.01507095,40.01507095,-75.13828905
0101000020E6100000FC606C6364C952C0D482934461FC4340,3306203,0101000020110F00007C11488C3CE95FC11F13A054E28B5241,16330547,26,2,2024-10-21 19:04:00+00,5/14/24,20:56:00,20,2.02E+11,600 BLOCK W THOMPSON ST,700,Motor Vehicle Theft,-75.14675222,39.97171838,39.97171838,-75.14675222
0101000020E61000004F20CB0602C752C02A4FA42439FE4340,3306204,0101000020110F0000AC5677C92FE55FC14CAE4154ED8D5241,16330558,24,3,2024-10-21 19:05:00+00,5/18/24,10:31:00,10,2.02E+11,3000 BLOCK CEDAR ST,700,Motor Vehicle Theft,-75.10949869,39.98611887,39.98611887,-75.10949869
0101000020E6100000E161B929CECE52C07CE9F5400EF64340,3306205,0101000020110F0000A948F46C6EF25FC1DAE790BFE0845241,16331860,12,3,2024-10-21 19:09:00+00,4/25/24,23:22:00,23,2.02E+11,6500 BLOCK REEDLAND ST,700,Motor Vehicle Theft,-75.23133319,39.92230999,39.92230999,-75.23133319
