cartodb_id,the_geom_webmercator,objectid,dc_dist,psa,dispatch_date_time,dispatch_date,dispatch_time,hour,dc_key,location_block,ucr_general,text_general_code,lat,lng
3236826,0101000020110F0000586D9C7E50F25FC1BCE262D10C8C5241,18356308,19,2,2024-07-01 19:12:00+00,7/1/24,15:12:00,15,2.02E+11,1300 BLOCK N CONESTOGA ST,500,Burglary Residential,39.97288836,-75.23025769
3236980,0101000020110F0000BC458F7CEEE15FC1CE3EC904AD955241,17954242,2,1,2024-07-01 15:40:00+00,7/1/24,11:40:00,11,2.02E+11,1200 BLOCK LEVICK ST,1400,Vandalism/Criminal Mischief,40.04071113,-75.07955603
3237207,0101000020110F00009EE46C5E0AEB5FC146A6D18484915241,17953830,39,2,2024-07-01 21:04:00+00,7/1/24,17:04:00,17,2.02E+11,2100 BLOCK W HUNTING PARK AV,800,Other Assaults,40.01142092,-75.16334665
3237247,0101000020110F00008F20436843E45FC11BEBC49AC98E5241,18356003,24,1,2024-07-01 19:08:00+00,7/1/24,15:08:00,15,2.02E+11,3400 BLOCK Aramingo Ave,400,Aggravated Assault Firearm,39.99218313,-75.10100495
3237428,0101000020110F00009F9ED35BA5EB5FC124AEC80B0D895241,18042420,9,3,2024-07-01 20:19:00+00,7/1/24,16:19:00,16,2.02E+11,1700 BLOCK CHESTNUT ST,600,Thefts,39.95174303,-75.16891584
3237639,0101000020110F000011171A9AA1DE5FC1C2AF30AEC8975241,18042139,2,3,2024-07-01 06:03:00+00,7/1/24,2:03:00,2,2.02E+11,7900 BLOCK E ROOSEVELT BLVD,600,Thefts,40.05555537,-75.04919712
3237839,0101000020110F0000C6A1E601DCEC5FC13F0FF70697995241,17870944,14,4,2024-07-01 20:02:00+00,7/1/24,16:02:00,16,2.02E+11,8200 BLOCK STENTON AV,600,Theft from Vehicle,40.06827037,-75.18007826
3238261,0101000020110F0000C7BA8B8D97DF5FC15D9CA258E3935241,18180455,15,2,2024-07-01 20:42:00+00,7/1/24,16:42:00,16,2.02E+11,6300 BLOCK FRANKFORD AV,600,Thefts,40.0281196,-75.05803478
3238601,0101000020110F000096BBC55FACDF5FC1228EBE673E945241,17905792,15,2,2024-07-02 00:34:00+00,7/1/24,20:34:00,20,2.02E+11,6400 BLOCK HAWTHORNE ST,600,Thefts,40.03062501,-75.05878294
3239144,0101000020110F000044D84589CAE85FC117E1D8E4D2945241,17955829,35,2,2024-07-01 15:04:00+00,7/1/24,11:04:00,11,2.02E+11,5300 BLOCK N CAMAC ST,700,Motor Vehicle Theft,40.03471035,-75.14265548
3239227,0101000020110F00003DB8AB1F12E65FC18D9A7C2E72945241,18180368,35,2,2024-07-01 15:16:00+00,7/1/24,11:16:00,11,2.02E+11,5400 BLOCK RISING SUN AV,600,Thefts,40.03204955,-75.11763156
3239746,0101000020110F00000C9BCC8EE8E45FC1695E440CFC905241,17870508,24,1,2024-07-01 04:31:00+00,7/1/24,0:31:00,0,2.02E+11,3900 BLOCK J ST,600,Thefts,40.00766495,-75.10693924
3239890,0101000020110F0000AE753CE6CEEE5FC115D185FA268D5241,17836058,22,4,2024-07-01 23:52:00+00,7/1/24,19:52:00,19,2.02E+11,1400 BLOCK FOUNTAIN GREEN DR,600,Theft from Vehicle,39.98065775,-75.19800475
3240033,0101000020110F0000737E8EF669EC5FC1A7BEAE7514855241,18015889,1,1,2024-07-01 20:17:00+00,7/1/24,16:17:00,16,2.02E+11,1700 BLOCK JACKSON ST,800,Other Assaults,39.923735,-75.17598035
3240035,0101000020110F0000DE9F8F6F59EC5FC1B23259A1CF945241,18288925,14,3,2024-07-01 13:49:00+00,7/1/24,9:49:00,9,2.02E+11,0 BLOCK W CHELTEN AV,600,Thefts,40.03462056,-75.17538648
3240093,0101000020110F0000EE69ACC6D1DF5FC177017706D2915241,17834957,15,2,2024-07-01 17:19:00+00,7/1/24,13:19:00,13,2.02E+11,5700 BLOCK KEYSTONE ST,600,Thefts,40.01355397,-75.06012689
3240439,0101000020110F000072E6B770C5EF5FC17671E67FD79A5241,17835092,14,4,2024-07-01 14:24:00+00,7/1/24,10:24:00,10,2.02E+11,100 BLOCK E EVERGREEN AV,600,Thefts,40.07708229,-75.20686361
