the_geom,cartodb_id,the_geom_webmercator,objectid,dc_dist,psa,dispatch_date_time,dispatch_date,dispatch_time,hour,dc_key,location_block,ucr_general,text_general_code,point_x,point_y,lat,lng
0101000020E610000072B4F4B277C752C0C56C2CD543034440,3334649,0101000020110F0000772B63AAF7E55FC10028996A84935241,24365891,25,2,2025-01-10 08:52:00+00,2025-01-10,03:52:00,3,202525001957.0,5000 BLOCK BOUDINOT ST,800,Other Assaults,-75.11668085,40.02550759,40.02550759,-75.11668085
0101000020E6100000EACE13CFD9CC52C01AF9DDF092FB4340,3334846,0101000020110F00006CE219861CEF5FC1A33841AFFD8A5241,24366698,16,1,2025-01-10 10:01:00+00,2025-01-10,05:01:00,5,202516001455.0,3900 BLOCK FAIRMOUNT AV 1,1400,Vandalism/Criminal Mischief,-75.200794,39.96542178,39.96542178,-75.200794
0101000020E6100000FB6B6048DACC52C053EC260098FB4340,3334849,0101000020110F000094DF23541DEF5FC14609974A038B5241,24366702,16,1,2025-01-10 10:43:00+00,2025-01-10,05:43:00,5,202516001456.0,3900 BLOCK FAIRMOUNT AV,1400,Vandalism/Criminal Mischief,-75.20082292,39.96557619,39.96557619,-75.20082292
0101000020E6100000F2D5A77FFDCA52C0C537565A2D024440,3335013,0101000020110F0000955D8476F3EB5FC143460D934F925241,24365670,39,1,2025-01-10 08:06:00+00,2025-01-10,03:06:00,3,202539002167.0,4700 BLOCK WISSAHICKON AV,2100,DRIVING UNDER THE INFLUENCE,-75.17172233,40.01700906,40.01700906,-75.17172233
0101000020E6100000D3122BA391C852C01C52772BECFF4340,3335164,0101000020110F0000BA74F290D6E75FC1D9AFA595CF8F5241,24364901,25,3,2025-01-10 06:42:00+00,2025-01-10,01:42:00,1,202525001949.0,200 BLOCK W ALLEGHENY AV,1400,Vandalism/Criminal Mischief,-75.133889,39.99939484,39.99939483,-75.133889
0101000020E6100000BA2DD32760CA52C0314B12B665F94340,3335967,0101000020110F0000BBDB2B33E8EA5FC1073E714894885241,24367061,9,4,2025-01-10 08:45:00+00,2025-01-10,03:45:00,3,202509003710.0,200 BLOCK S 13TH ST,800,Other Assaults,-75.16211887,39.94841648,39.94841648,-75.16211887
0101000020E610000016AB1FFE4ECB52C0019C830C89FD4340,3336109,0101000020110F0000B8BA84E37DEC5FC124BDD0242A8D5241,24372082,22,4,2025-01-10 12:38:00+00,2025-01-10,07:38:00,7,202522001999.0,2500 BLOCK NICHOLAS ST,700,Motor Vehicle Theft,-75.17669633,39.9807449,39.9807449,-75.17669633
0101000020E6100000F2169B9826C452C0CF6ECA6826044440,3336121,0101000020110F00004961F96055E05FC127CB82B97F945241,24372095,15,2,2025-01-10 12:36:00+00,2025-01-10,07:36:00,7,202515002338.0,2800 BLOCK LEVICK ST,700,Motor Vehicle Theft,-75.06485572,40.03242216,40.03242216,-75.06485572
0101000020E6100000A64D8BB017CA52C0E4B83A9DB7FE4340,3336180,0101000020110F0000A343F41B6DEA5FC10C9A5785798E5241,24369457,22,1,2025-01-10 12:32:00+00,2025-01-10,07:32:00,7,202522001995.0,1500 BLOCK W BOSTON ST,2600,All Other Offenses,-75.1576959,39.98997846,39.98997846,-75.1576959
0101000020E6100000B3258A1433C452C08E038E88D2024440,3336235,0101000020110F00009DDE96956AE05FC1A57A78C206935241,24372116,15,2,2025-01-10 10:59:00+00,2025-01-10,05:59:00,5,202515002333.0,5800 BLOCK ERDRICK ST,700,Motor Vehicle Theft,-75.06561769,40.02204997,40.02204997,-75.06561769
0101000020E61000008829368B7CC952C0D77ED70C95F64340,3336344,0101000020110F0000E76C119465E95FC1187D900776855241,24372426,3,2,2025-01-10 10:23:00+00,2025-01-10,05:23:00,5,202503001228.0,100 BLOCK MORRIS ST,700,Motor Vehicle Theft,-75.14822655,39.92642365,39.92642365,-75.14822655
0101000020E6100000E2D100BDF4C052C01DD8E033C8084440,3336446,0101000020110F000077033D2AE8DA5FC170A0015EA3995241,24372155,8,2,2025-01-10 12:45:00+00,2025-01-10,07:45:00,7,202508001026.0,2800 BLOCK SAXTON RD,700,Motor Vehicle Theft,-75.01493764,40.0686097,40.0686097,-75.01493764
0101000020E61000003BD618B6DECB52C0D1E7827ECFF64340,3336605,0101000020110F00006131630272ED5FC1E975AFC1B6855241,24369198,1,1,2025-01-10 12:44:00+00,2025-01-10,07:44:00,7,202501000743.0,1900 BLOCK POINT BREEZE AV,2600,All Other Offenses,-75.18546822,39.92820722,39.92820722,-75.18546822
0101000020E6100000E7BD18675FC252C0B3693A75C40C4440,3336666,0101000020110F0000F569E02F50DD5FC1C27775E70F9E5241,24372197,7,2,2025-01-10 09:06:00+00,2025-01-10,04:06:00,4,202507000822.0,1100 BLOCK MOREFIELD RD,700,Motor Vehicle Theft,-75.03707292,40.09974542,40.09974542,-75.03707292
0101000020E61000006E4F6FCAC5C852C039D1116D85074440,3336933,0101000020110F00007EB66A272FE85FC1CDAA112D3D985241,24368901,35,1,2025-01-10 12:53:00+00,2025-01-10,07:53:00,7,202535002331.0,1300 BLOCK LAKESIDE AV,1400,Vandalism/Criminal Mischief,-75.13707219,40.05875934,40.05875934,-75.13707219
0101000020E61000000D51853FC3CE52C059880E8123F14340,3337207,0101000020110F000006F7B7E25BF25FC120ED732B6F7F5241,24371957,77,A,2025-01-10 10:42:00+00,2025-01-10,05:42:00,5,202577000339.0,International Hall,1100,Fraud,-75.230667,39.883896,39.883896,-75.230667
0101000020E61000001A0325E407C952C0108265D783014440,3337308,0101000020110F0000C2C9A46E9FE85FC1AC4EA99993915241,24371997,25,1,2025-01-10 11:58:00+00,2025-01-10,06:58:00,6,202525001965.0,3900 BLOCK N 8TH ST,700,Motor Vehicle Theft,-75.14110664,40.01183598,40.01183598,-75.14110664
0101000020E610000097446A9869CA52C0FD378A076FFE4340,3337622,0101000020110F00006D31FE3BF8EA5FC1E2C27F0F298E5241,24370375,22,1,2025-01-10 12:52:00+00,2025-01-10,07:52:00,7,202522001998.0,2200 BLOCK N 18TH ST,1400,Vandalism/Criminal Mischief,-75.16269503,39.98776335,39.98776335,-75.16269503
0101000020E61000004144CD0401CE52C09AC91E3E3CFA4340,3337660,0101000020110F00002F4DADF711F15FC15D7F54F681895241,24372049,18,3,2025-01-10 11:24:00+00,2025-01-10,06:24:00,6,202518001439.0,4800 BLOCK LOCUST ST,700,Motor Vehicle Theft,-75.21881218,39.95496346,39.95496346,-75.21881218
